episode,patient_file,reward,length,outcome,loss
1,7,7,unknown,n/a
1,7,7,unknown,n/a
1,C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json,7,7,unknown,n/a
1,C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient1@0s.json,-12.43905925454931,6,unknown,n/a
1,C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json,-13.563134556574925,7,unknown,n/a
1,C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json,-13.563134556574925,7,unknown,n/a
1,C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient1@0s.json,-12.43905925454931,6,unknown,n/a
1,C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient1@0s.json,-12.43905925454931,6,unknown,n/a
1,C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient2@0s.json,-13.195173160173162,7,unknown,n/a
1,C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient1@0s.json,-11.147781589479704,10,unknown,n/a
1,C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient1@0s.json,-7.27,6,unknown,n/a
1,C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient2@0s.json,8.73,6,unknown,n/a
1,C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json,8.71063063063063,6,stabilization,n/a
1,C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient1@0s.json,8.600712530712531,6,stabilization,n/a
1,C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json,8.566515865323204,6,stabilization,n/a
1,C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient1@0s.json,8.052210196625012,6,stabilization,n/a
1,C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json,-12.571467889908256,6,death,n/a
1,C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient2@0s.json,8.63123669123669,6,stabilization,n/a
1,C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient2@0s.json,8.120006539908617,6,stabilization,n/a
